geocoded_address,geocoded_city,geocoded_state,geocoded_zipcode,geocoded_latitude,geocoded_longitude
13426,4905 Log Cabin Rd,Nashville,TN,37216,-86.718666,36.230938
13427,612 Poplar Pl,Nashville,TN,37216,-86.745346,36.225952
13428,726 Maplewood Ln,Nashville,TN,37216,-86.735214,36.22802
13429,909 Maplewood Pl,Nashville,TN,37216,-86.72922,36.227535
13430,4015 Edwards Ave,Nashville,TN,37216,-86.737755,36.2222
13431,4201 Burrus St,Nashville,TN,37216,-86.72978,36.22394
13432,911 Virginia Ave,Nashville,TN,37216,-86.73209,36.222637
13433,1131 Mcalpine Ave,Nashville,TN,37216,-86.724976,36.220398
13434,,,,,,
13435,1223 Plymouth Ave,Nashville,TN,37216,-86.71793,36.222614
13436,1142 Riverwood Dr,Nashville,TN,37216,-86.72037,36.222744
13437,1129 Greenland Ave,Nashville,TN,37216,-86.72404,36.222187
13438,807 Gillock St,Nashville,TN,37216,-86.73495,36.215546
13439,1140 Ardee Ave,Nashville,TN,37216,-86.72588,36.218822
13440,3802 Kingswood Ave,Nashville,TN,37216,-86.72635,36.21411
13441,1342 Greenland Ave,Nashville,TN,37216,-86.71468,36.217716
13442,1245 Ardee Ave,Nashville,TN,37216,-86.720924,36.216213
13443,1340 Mcalpine Ave,Nashville,TN,37216,-86.71588,36.21599
13444,1324 Ardee Ave,Nashville,TN,37216,-86.71905,36.215202
13445,2204 Mcgavock Pike,Nashville,TN,37216,-86.71084,36.21475
13446,126 Kingston St,Nashville,TN,37207,-86.76497,36.209175
13447,124 Kingston St,Nashville,TN,37207,-86.765015,36.209183
13448,134 Donald St,Nashville,TN,37207,-86.76077,36.209557
13449,,,,,,
13450,314 Prince Ave,Nashville,TN,37207,-86.76253,36.206413
13451,327 Marshall St,Nashville,TN,37207,-86.76475,36.20139
13452,908 Ward St,Nashville,TN,37207,-86.75455,36.198284
13453,120 Lucille St,Nashville,TN,37207,-86.76985,36.196217
13454,117 Eastmoreland St,Nashville,TN,37207,-86.77038,36.195396
13455,111 Douglas Ave,Nashville,TN,37207,-86.77104,36.194294
13456,1304 Pennock Ave,Nashville,TN,37207,-86.76601,36.194214
13457,1334 Lischey Ave,Nashville,TN,37207,-86.763084,36.194866
13458,1221 Lischey Ave,Nashville,TN,37207,-86.76331,36.193356
13459,1401 Jones Ave,Nashville,TN,37207,-86.75912,36.196327
13460,1210 N 6Th St,Nashville,TN,37207,-86.76074,36.192577
13461,728 Douglas Ave,Nashville,TN,37207,-86.75619,36.193584
13462,1307 Stratford Ave,Nashville,TN,37216,-86.72501,36.21378
13463,1221 Shelton Ave,Nashville,TN,37216,-86.728004,36.20906
13464,1507 Stratford Ave,Nashville,TN,37216,-86.719864,36.21148
13465,1509 Stratford Ave,Nashville,TN,37216,-86.71985,36.211464
13466,1001 Dozier Pl,Nashville,TN,37216,-86.743195,36.203712
13467,1001 Dozier Pl,Nashville,TN,37216,-86.743195,36.203712
13468,1111 Leland Ave,Nashville,TN,37216,-86.73702,36.203747
13469,1225 Kenmore Pl,Nashville,TN,37216,-86.73158,36.205936
13470,2129 Riverside Dr,Nashville,TN,37216,-86.722626,36.20279
13471,1611 Berrywood Rd,Nashville,TN,37216,-86.72116,36.204468
13472,2228 Stratford Ave,Nashville,TN,37216,-86.71628,36.202946
13473,908 Spain Ave,Nashville,TN,37216,-86.746056,36.202003
13474,914 Spain Ave,Nashville,TN,37216,-86.745895,36.201946
13475,1015 Delmas Ave,Nashville,TN,37216,-86.74316,36.19982
13476,918 Delmas Ave,Nashville,TN,37216,-86.744934,36.200424
13477,2228 Scott Ave,Nashville,TN,37216,-86.73304,36.199852
13478,2914 Lee Davis Rd,Nashville,TN,37216,-86.72877,36.20219
13479,,,,,,
13480,,,,,,
13481,1500 Ward Ave,Nashville,TN,37206,-86.73897,36.194202
13482,1615 Riverside Dr,Nashville,TN,37206,-86.723465,36.196323
13483,1702 Porter Rd,Nashville,TN,37206,-86.72266,36.195477
13484,1601 Porter Rd,Nashville,TN,37206,-86.72509,36.195107
13485,1528 Riverside Dr,Nashville,TN,37206,-86.72355,36.193684
13486,1507 Porter Rd,Nashville,TN,37206,-86.725555,36.19446
13487,1410 Harwood Dr,Nashville,TN,37206,-86.718956,36.19169
13488,1410 Harwood Dr,Nashville,TN,37206,-86.718956,36.19169
13489,3911 Ivy Dr,Nashville,TN,37216,-86.70362,36.208668
13490,1921 Moran Ave,Nashville,TN,37216,-86.71112,36.20716
13491,2529 Mcginnis Dr,Nashville,TN,37216,-86.69941,36.201004
13492,,,,,,
13493,1114 N 2Nd St,Nashville,TN,37207,-86.77049,36.190407
13494,916 Petway Ave,Nashville,TN,37206,-86.7532,36.187225
13495,702 N 2Nd St,Nashville,TN,37207,-86.77142,36.183083
13496,923 W Eastland Ave,Nashville,TN,37206,-86.75497,36.184967
13497,913 W Eastland Ave,Nashville,TN,37206,-86.7552,36.184994
13498,908 W Eastland Ave,Nashville,TN,37206,-86.75507,36.184967
13499,1000 Seymour Ave,Nashville,TN,37206,-86.75252,36.18612
13500,,,,,,
13501,611 Boscobel St,Nashville,TN,37206,-86.76009,36.169746
13502,800 Woodland St,Nashville,TN,37206,-86.75847,36.17425
13503,926 Granada Ave,Nashville,TN,37206,-86.75158,36.188797
13504,,,,,,
13505,1309 Greenwood Ave,Nashville,TN,37206,-86.74234,36.19003
13506,1314 Greenwood Ave,Nashville,TN,37206,-86.74267,36.1901
13507,1118 N 14Th St,Nashville,TN,37206,-86.74242,36.1894
13508,,,,,,
13509,1713 Greenwood Ave,Nashville,TN,37206,-86.73829,36.189598
13510,1112 Riverside Dr,Nashville,TN,37206,-86.72653,36.18766
13511,1321 Harwood Dr,Nashville,TN,37206,-86.71908,36.19072
13512,,,,,,
13513,1107 Seymour Ave,Nashville,TN,37206,-86.74613,36.185383
13514,1417 Calvin Ave,Nashville,TN,37206,-86.744705,36.181133
13515,1616 Sumner Ave,Nashville,TN,37206,-86.73991,36.185547
13516,198 Manchester Ave,Nashville,TN,37206,-86.73561,36.184803
13517,606 Rudolph Ave,Nashville,TN,37206,-86.73997,36.182034
13518,814 Washington Ave,Nashville,TN,37206,-86.72722,36.184883
13519,707 Skyview Dr,Nashville,TN,37206,-86.72914,36.182827
13520,1022 Preston Dr,Nashville,TN,37206,-86.71776,36.18566
13521,916 Potter Ln,Nashville,TN,37206,-86.716125,36.179695
13522,1419 Holly St,Nashville,TN,37206,-86.7456,36.175804
13523,419 Lakehurst Dr,Nashville,TN,37206,-86.73591,36.180473
13524,413 Lakehurst Dr,Nashville,TN,37206,-86.7359,36.180553
13525,,,,,,
13526,214 Perlen Dr,Nashville,TN,37206,-86.72524,36.17509
13527,2404 Brittany Dr,Nashville,TN,37206,-86.72254,36.176052
13528,1232 Lillian St,Nashville,TN,37206,-86.74864,36.173244
13529,1407 Russell St,Nashville,TN,37206,-86.74596,36.174778
13530,1515 Boscobel St,Nashville,TN,37206,-86.744225,36.17155
13531,404 S 16Th St,Nashville,TN,37206,-86.74272,36.171368
13532,1502 Shelby Ave,Nashville,TN,37206,-86.74454,36.170612
13533,1512 Boscobel St,Nashville,TN,37206,-86.744255,36.17154
13534,1815 Russell St,Nashville,TN,37206,-86.738144,36.17405
13535,1813 Lillian St,Nashville,TN,37206,-86.738464,36.172115
13536,1814 Boscobel St,Nashville,TN,37206,-86.738556,36.1711
13537,1708 Lillian St,Nashville,TN,37206,-86.73931,36.172176
13538,2808 Hody Dr,Nashville,TN,37206,-86.72413,36.170856
13539,2616 Carter Ave,Nashville,TN,37206,-86.7111,36.187645
13540,823 Rosebank Ave,Nashville,TN,37206,-86.70956,36.186657
13541,2629 Solon Dr,Nashville,TN,37206,-86.711754,36.189587
13542,2629 Solon Dr,Nashville,TN,37206,-86.711754,36.189587
13543,802 Rose Park Dr,Nashville,TN,37206,-86.70938,36.186283
13544,855 Beth Dr,Nashville,TN,37206,-86.71051,36.18097
13545,1013 Glenview Dr,Nashville,TN,37206,-86.75244,36.164284
13546,614 Shelby Ave,Nashville,TN,37206,-86.75936,36.168697
13547,1710 Shelby Ave,Nashville,TN,37206,-86.74005,36.17021
13548,1710 Shelby Ave,Nashville,TN,37206,-86.74005,36.17021
13549,909 S 12Th St,Nashville,TN,37206,-86.74985,36.164524
13550,731 River Landing Way,Old Hickory,TN,37138,-86.67902,36.279617
13551,303 Keeton Ave,Old Hickory,TN,37138,-86.6669,36.27207
13552,604 Jones St,Old Hickory,TN,37138,-86.64548,36.264988
13553,275 Martingale Dr,Old Hickory,TN,37138,-86.656876,36.260853
13554,1008 Hadley Ave,Old Hickory,TN,37138,-86.64781,36.260677
13555,2620 Miami Ave,Nashville,TN,37214,-86.70904,36.240643
13556,2618 Miami Ave,Nashville,TN,37214,-86.70913,36.240562
13557,1216 Alandee St,Nashville,TN,37214,-86.70354,36.24062
13558,1301 Fuller St,Old Hickory,TN,37138,-86.65266,36.257496
13559,113 Newport Dr,Old Hickory,TN,37138,-86.65203,36.254257
13560,1213 Bryan St,Old Hickory,TN,37138,-86.65086,36.258842
13561,1501 Elliston St,Old Hickory,TN,37138,-86.649734,36.255287
13562,105 Rising Sun Ct,Old Hickory,TN,37138,-86.61201,36.238533
13563,2908 River Bend Dr,Nashville,TN,37214,-86.70009,36.2401
13564,4465 Frost St,Nashville,TN,37214,-86.694466,36.23731
13565,3320 Cain Harbor Dr,Nashville,TN,37214,-86.69383,36.238544
13566,4609 Cather Ct,Nashville,TN,37214,-86.693634,36.23375
13567,4509 Hawthorn Dr,Nashville,TN,37214,-86.691536,36.23558
13568,4517 Hawthorn Dr,Nashville,TN,37214,-86.69136,36.235294
13569,1001 Tonyawood Dr,Old Hickory,TN,37138,-86.62408,36.216137
13570,447 Rolling Mill Rd,Old Hickory,TN,37138,-86.61327,36.23323
13571,1156 Safety Harbor Cove,Old Hickory,TN,37138,-86.6033,36.23789
13572,2117 Remington Park Rd,Old Hickory,TN,37138,-86.593094,36.227398
13573,4540 S Trace Blvd,Old Hickory,TN,37138,-86.63171,36.22159
13574,4720 Kalamath Dr,Old Hickory,TN,37138,-86.59035,36.224064
13575,302 Laurel Hill Dr,Old Hickory,TN,37138,-86.62591,36.2199
13576,607 Selsey Ct N,Hermitage,TN,37076,-86.59839,36.22036
13577,2017 Remington Park Rd,Hermitage,TN,37076,-86.59439,36.219635
13578,2709 Spring Farm Ct,Hermitage,TN,37076,-86.5938,36.22261
13579,4804 Catskill Dr,Old Hickory,TN,37138,-86.58889,36.224354
13580,2302 Dundee Ln,Nashville,TN,37214,-86.68389,36.200035
13581,133 Cumberland Trce,Nashville,TN,37214,-86.67101,36.19229
13582,206 Cumberland Trce,Nashville,TN,37214,-86.672264,36.193497
13583,229 Bonnabrook Dr,Hermitage,TN,37076,-86.63158,36.196426
13584,3827 Bonnacreek Dr,Hermitage,TN,37076,-86.632034,36.194244
13585,509 Frankfort Dr,Hermitage,TN,37076,-86.595604,36.212456
13586,4420 Juneau Dr,Hermitage,TN,37076,-86.60653,36.20758
13587,4412 Baton Rouge Dr,Hermitage,TN,37076,-86.60176,36.206795
13588,304 Rachels Ct E,Hermitage,TN,37076,-86.60459,36.205902
13589,713 Albany Dr,Hermitage,TN,37076,-86.59652,36.206238
13590,1112 Andrew Donelson,Hermitage,TN,37076,-86.60662,36.19968
13591,624 Belgium Dr,Hermitage,TN,37076,-86.59889,36.20229
13592,721 Netherlands Dr,Hermitage,TN,37076,-86.59956,36.19993
13593,329 Scotts Creek Pl,Hermitage,TN,37076,-86.59391,36.20365
13594,521 Leslie Ann Ct,Hermitage,TN,37076,-86.59662,36.200428
13595,1321 Weeping Cherry Ln,Hermitage,TN,37076,-86.591606,36.198235
13596,202 Bonnabrook Dr,Hermitage,TN,37076,-86.62918,36.195465
13597,212 Bonnabrook Dr,Hermitage,TN,37076,-86.63027,36.19596
13598,3918 Bonnaford Dr,Hermitage,TN,37076,-86.62348,36.195454
13599,2129 Brookview Dr,Nashville,TN,37214,-86.696465,36.176785
13600,205 Barker Rd,Nashville,TN,37214,-86.697945,36.175457
13601,2317 Revere Pl,Nashville,TN,37214,-86.68655,36.17127
13602,2524 Stinson Rd,Nashville,TN,37214,-86.67652,36.172707
13603,4205 Stone Hall Blvd,Hermitage,TN,37076,-86.63479,36.189068
13604,3012 Jenry Dr,Nashville,TN,37214,-86.6501,36.175163
13605,212 Chandlers Pass Ct,Hermitage,TN,37076,-86.60572,36.188843
13606,,,,,,
13607,809 Withers Pl,Hermitage,TN,37076,-86.58818,36.190323
13608,,,,,,
13609,3544 Albee Dr,Hermitage,TN,37076,-86.61106,36.179924
13610,416 Elegance Way,Hermitage,TN,37076,-86.59658,36.18084
13611,144 Tulip Grove Pt,Hermitage,TN,37076,-86.595894,36.1812
13612,3360 Lakeside Pl,Hermitage,TN,37076,-86.62113,36.175823
13613,2940 Chapelwood Dr,Hermitage,TN,37076,-86.61618,36.171707
13614,4305 Chesney Glen Dr,Hermitage,TN,37076,-86.58382,36.1859
13615,5708 Briarwick Ct,Hermitage,TN,37076,-86.58758,36.183064
13616,4042 Farmingham Woods Dr,Hermitage,TN,37076,-86.58522,36.183186
13617,1510 Spence Ct,Nashville,TN,37210,-86.720894,36.150517
13618,808 Spence Enclave Ln,Nashville,TN,37210,-86.71836,36.15172
13619,827 Spence Enclave Ln,Nashville,TN,37210,-86.718315,36.15142
13620,761 Spence Enclave Ln,Nashville,TN,37210,-86.71886,36.15232
13621,2258 Lebanon Pike,Nashville,TN,37214,-86.68626,36.168617
13622,2219 Larimore Dr,Nashville,TN,37214,-86.69083,36.15683
13623,,,,,,
13624,245 Cumberland Cir,Nashville,TN,37214,-86.6689,36.162235
13625,2624 Woodberry Dr,Nashville,TN,37214,-86.669846,36.16039
13626,3000 Whitland Crossing Dr,Nashville,TN,37214,-86.66691,36.1542
13627,2924 Dunmore Dr,Nashville,TN,37214,-86.65757,36.154953
13628,619 Paces Ferry Dr,Nashville,TN,37214,-86.64332,36.157078
13629,,,,,,
13630,2882 Lyncrest Dr,Nashville,TN,37214,-86.66089,36.1513
13631,3324 Niagara Dr,Nashville,TN,37214,-86.63772,36.15302
13632,3328 Niagara Dr,Nashville,TN,37214,-86.63773,36.153095
13633,,,,,,
13634,3824 Hoggett Ford Rd,Hermitage,TN,37076,-86.61999,36.17033
13635,3826 Hoggett Ford Rd,Hermitage,TN,37076,-86.61996,36.17033
13636,3832 Hoggett Ford Rd,Hermitage,TN,37076,-86.619865,36.170322
13637,1235 Riverbrook Dr,Hermitage,TN,37076,-86.61995,36.169456
13638,1233 Riverbrook Dr,Hermitage,TN,37076,-86.61998,36.16946
13639,1231 Riverbrook Dr,Hermitage,TN,37076,-86.62001,36.169464
13640,1227 Riverbrook Dr,Hermitage,TN,37076,-86.62007,36.169468
13641,,,,,,
13642,6165 Hampton Hall Way,Hermitage,TN,37076,-86.58124,36.163322
13643,5673 Chestnutwood Trl,Hermitage,TN,37076,-86.57706,36.162945
13644,1429 Bridgecross Pkwy,Hermitage,TN,37076,-86.57359,36.160473
13645,1716 Robindale Dr,Hermitage,TN,37076,-86.57198,36.16205
13646,1633 Robindale Dr,Hermitage,TN,37076,-86.57217,36.160572
13647,1973 Hawks Nest Dr,Hermitage,TN,37076,-86.57436,36.164482
13648,1932 Hawks Nest Dr,Hermitage,TN,37076,-86.57523,36.164585
13649,1201 Chickadee Cir,Hermitage,TN,37076,-86.57601,36.16201
13650,117 Windchase Run,Hermitage,TN,37076,-86.585686,36.157154
13651,6056 Hagars Grove Pass,Hermitage,TN,37076,-86.577,36.15484
13652,6101 Hagars Grove Pass,Hermitage,TN,37076,-86.577286,36.154186
13653,309 Moonwater Ct,Hermitage,TN,37076,-86.586655,36.15018
13654,212 Cadey Cove,Hermitage,TN,37076,-86.58539,36.150463
13655,419 Bunkerhill Dr,Nashville,TN,37217,-86.72235,36.130665
13656,1208 Thompson Pl,Nashville,TN,37217,-86.70373,36.127285
13657,917 Patio Dr,Nashville,TN,37214,-86.641106,36.142944
13658,136 N Timber Dr,Nashville,TN,37214,-86.64019,36.139805
13659,3404 Elm Hill Pike,Nashville,TN,37214,-86.633224,36.14243
13660,3224 Lakeford Dr,Nashville,TN,37214,-86.63912,36.137424
13661,4045 Windwood Ln,Nashville,TN,37214,-86.635124,36.131165
13662,1029 Hammack Ct,Nashville,TN,37214,-86.63604,36.130238
13663,211 Woodmaker Ct,Nashville,TN,37214,-86.639565,36.12909
13664,605 N Lakeridge Pl,Nashville,TN,37214,-86.62769,36.14545
13665,2532 Janalyn Trce,Hermitage,TN,37076,-86.588646,36.147476
13666,2536 Janalyn Trce,Hermitage,TN,37076,-86.58862,36.14761
13667,2908 Cherrybark Ct,Hermitage,TN,37076,-86.58978,36.1489
13668,3535 Bell Rd,Nashville,TN,37214,-86.62669,36.143322
13669,,,,,,
13670,3028 Cooks Landing Ct,Hermitage,TN,37076,-86.59099,36.14277
13671,3032 Cooks Landing Ct,Hermitage,TN,37076,-86.59102,36.142586
13672,3044 Cooks Landing Ct,Hermitage,TN,37076,-86.59109,36.142025
13673,3045 Cooks Landing Ct,Hermitage,TN,37076,-86.591034,36.141834
13674,3029 Cooks Landing Ct,Hermitage,TN,37076,-86.59102,36.142517
13675,2500 Hessey Pass,Mt Juliet,TN,37122,-86.56753,36.146873
13676,2617 Lakeside Meadows Dr,Mt Juliet,TN,37122,-86.56905,36.1445
13677,4656 Hessey Rd,Mt Juliet,TN,37122,-86.56609,36.14691
13678,4660 Hessey Rd,Mt Juliet,TN,37122,-86.56581,36.146866
13679,4678 Hessey Rd,Mt Juliet,TN,37122,-86.56453,36.146694
13680,330 Wimpole Dr,Nashville,TN,37211,-86.71967,36.12422
13681,1304 Mercury Dr,Nashville,TN,37217,-86.70087,36.121483
13682,723 Robert Burns Dr,Nashville,TN,37217,-86.70924,36.12028
13683,1402 Winthorne Dr,Nashville,TN,37217,-86.70304,36.11297
13684,,,,,,
13685,801 Bracken Trl,Nashville,TN,37214,-86.62688,36.122234
13686,4001 Anderson Rd,Nashville,TN,37217,-86.60218,36.106567
13687,605 Vinson Dr,Nashville,TN,37217,-86.70347,36.102158
13688,633 Vinson Dr,Nashville,TN,37217,-86.7017,36.101974
13689,719 Long Hunter Ct,Nashville,TN,37217,-86.638374,36.095795
13690,,,,,,
13691,,,,,,
13692,,,,,,
13693,1927 Nashboro Blvd,Nashville,TN,37217,-86.63397,36.08936
13694,1917 Nashboro Blvd,Nashville,TN,37217,-86.63481,36.089157
13695,2606 Nashboro Blvd,Nashville,TN,37217,-86.63425,36.09324
13696,2525 Ravine Dr,Nashville,TN,37217,-86.635216,36.0827
13697,478 Flintlock Ct,Nashville,TN,37217,-86.63668,36.088345
13698,598 Flintlock Ct,Nashville,TN,37217,-86.63155,36.087345
13699,712 Flintlock Ct,Nashville,TN,37217,-86.63635,36.086475
13700,4000 Anderson Rd,Nashville,TN,37217,-86.603966,36.102676
13701,3880 W Priest Lake Dr,Nashville,TN,37217,-86.60593,36.102158
13702,3716 Colonial Heritage Dr,Nashville,TN,37217,-86.60697,36.10119
13703,2856 Lake Forest Dr,Nashville,TN,37217,-86.610954,36.090775
13704,3636 Anderson Rd,Nashville,TN,37217,-86.60647,36.09045
13705,3700 Folkstone Dr,Antioch,TN,37013,-86.598236,36.083134
13706,2145 Mullen Cir,Nashville,TN,37217,-86.66759,36.079105
13707,4908 Oak Barrel Dr,Antioch,TN,37013,-86.65339,36.080322
13708,833 Bishopsgate Rd,Antioch,TN,37013,-86.6596,36.081074
13709,110 Elizabeths Ct,Antioch,TN,37013,-86.65928,36.07993
13710,110 Elizabeths Ct,Antioch,TN,37013,-86.65928,36.07993
13711,232 Pepper Ridge Cir,Antioch,TN,37013,-86.66378,36.075054
13712,764 Dover Glen Dr,Antioch,TN,37013,-86.65173,36.074467
13713,1401 Elkhorn Pt,Antioch,TN,37013,-86.65989,36.067966
13714,701 Reeves Rd,Antioch,TN,37013,-86.66689,36.063915
13715,913 Chadfield Ct,Antioch,TN,37013,-86.66613,36.061523
13716,1605 Bridgecrest Dr,Antioch,TN,37013,-86.65088,36.06666
13717,3085 Brantley Dr,Antioch,TN,37013,-86.61268,36.079433
13718,2916 High Rigger Dr,Nashville,TN,37217,-86.60717,36.082634
13719,3300 Anderson Rd,Antioch,TN,37013,-86.6066,36.080475
13720,3309 Westcliffe Cir,Antioch,TN,37013,-86.59826,36.078327
13721,1009 Esturbridge Ct,Antioch,TN,37013,-86.59512,36.080555
13722,2965 Brantley Dr,Antioch,TN,37013,-86.61788,36.07452
13723,2972 Cherry Hills Dr,Antioch,TN,37013,-86.61839,36.076355
13724,2809 Louise Russell Dr,Antioch,TN,37013,-86.61496,36.075626
13725,3421 Towne Village Rd,Antioch,TN,37013,-86.60107,36.07494
13726,1213 Curran Ct,Antioch,TN,37013,-86.621704,36.066196
13727,609 Summertime Ct,Antioch,TN,37013,-86.60218,36.070866
13728,1609 Maple Timber Ct,Antioch,TN,37013,-86.60783,36.06691
13729,424 Hickory Timber Ct,Antioch,TN,37013,-86.61003,36.066116
13730,204 Shoemaker Ct,Antioch,TN,37013,-86.615776,36.068123
13731,3165 Shady Tree Ln,Antioch,TN,37013,-86.609856,36.060905
13732,208 Burwick Ct,Antioch,TN,37013,-86.586395,36.0849
13733,3608 Burwick Pl,Antioch,TN,37013,-86.58651,36.085304
13734,3133 Kennebeck Pl,Antioch,TN,37013,-86.58674,36.08162
13735,6441 Paddington Way,Antioch,TN,37013,-86.58176,36.072372
13736,5382 Skip Jack Dr,Antioch,TN,37013,-86.58249,36.064396
13737,1121 S Hampton Close,Antioch,TN,37013,-86.577644,36.069195
13738,1109 S Hampton Close,Antioch,TN,37013,-86.57774,36.069214
13739,1804 Windsor Meadows Pass,Antioch,TN,37013,-86.57503,36.071644
13740,1717 Londonview Pl,Antioch,TN,37013,-86.574104,36.070988
13741,7096 S Hampton Blvd,Antioch,TN,37013,-86.57532,36.0675
13742,268 Took Dr,Antioch,TN,37013,-86.64904,36.06207
13743,272 Took Dr,Antioch,TN,37013,-86.64913,36.06218
13744,265 Took Dr,Antioch,TN,37013,-86.64917,36.062206
13745,3001 Hamilton Church Rd,Antioch,TN,37013,-86.63263,36.06101
13746,3001 Hamilton Church Rd,Antioch,TN,37013,-86.63263,36.06101
13747,2002 Ethan Ln,Antioch,TN,37013,-86.62798,36.04181
13748,1830 Isabelle Ln,Antioch,TN,37013,-86.631134,36.042118
13749,581 Bradburn Village Cir,Antioch,TN,37013,-86.612816,36.05305
13750,528 Bradburn Village Cir,Antioch,TN,37013,-86.612495,36.052395
13751,,,,,,
13752,,,,,,
13753,1125 Lakewalk Dr,Antioch,TN,37013,-86.593475,36.050995
13754,512 Aerie Lndg,Antioch,TN,37013,-86.58973,36.053806
13755,2504 Skyfalls Way,Antioch,TN,37013,-86.621574,36.048103
13756,3737 Asheford Trce,Antioch,TN,37013,-86.62461,36.042633
13757,,,,,,
13758,5121 Hickory Grove Dr,Antioch,TN,37013,-86.58567,36.029083
13759,6721 Birchbrook Dr,Antioch,TN,37013,-86.57974,36.028233
13760,6636 Shadyview Dr,Antioch,TN,37013,-86.58032,36.030754
13761,506 Buchanan St,Nashville,TN,37208,-86.794464,36.183754
13762,1807 4Th Ave N,Nashville,TN,37208,-86.79273,36.18482
13763,1710 7Th Ave N,Nashville,TN,37208,-86.79547,36.181698
13764,1400 Rosa L Parks Blvd,Nashville,TN,37208,-86.79472,36.17817
13765,,,,,,
13766,1733 4Th Ave N,Nashville,TN,37208,-86.79171,36.18339
13767,1712 4Th Ave N,Nashville,TN,37208,-86.7915,36.183083
13768,1714 4Th Ave N,Nashville,TN,37208,-86.79151,36.183113
13769,1720 4Th Ave N,Nashville,TN,37208,-86.79157,36.18321
13770,1211 5Th Ave N,Nashville,TN,37208,-86.78821,36.175537
13771,1400 4Th Ave N,Nashville,TN,37208,-86.788765,36.17885
13772,1255 4Th Ave N,Nashville,TN,37208,-86.78734,36.176594
13773,716 4Th Ave N,Nashville,TN,37219,-86.78326,36.170334
13774,303 Criddle St,Nashville,TN,37219,-86.78295,36.17081
13775,1070 1St Ave N,Nashville,TN,37201,-86.78216,36.175274
13776,854 1St Ave N,Nashville,TN,37201,-86.78102,36.17346
13777,962 1St Ave N,Nashville,TN,37201,-86.78141,36.173965
13778,907 Warren St,Nashville,TN,37208,-86.793884,36.169075
13779,911 Warren St,Nashville,TN,37208,-86.79399,36.16923
13780,913 Warren St,Nashville,TN,37208,-86.79401,36.169254
13781,700 Church St,Nashville,TN,37203,-86.78271,36.162106
13782,700 Church St,Nashville,TN,37203,-86.78271,36.162106
13783,700 Church St,Nashville,TN,37203,-86.78271,36.162106
13784,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
13785,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
13786,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
13787,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
13788,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
13789,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
13790,415 Church St,Nashville,TN,37219,-86.7791,36.163635
13791,116 Academy Sq,Nashville,TN,37210,-86.768555,36.152874
13792,135 Academy Sq,Nashville,TN,37210,-86.76852,36.15283
13793,320 11Th Ave N,Nashville,TN,37203,-86.78806,36.15911
13794,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
13795,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
13796,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
13797,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
13798,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
13799,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
13800,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
13801,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
13802,1078 2Nd Ave S,Nashville,TN,37210,-86.7659,36.14756
13803,1308 Pillow St,Nashville,TN,37203,-86.76637,36.141075
13804,606 Moore Ave,Nashville,TN,37203,-86.77014,36.137672
13805,542 Hamilton Ave,Nashville,TN,37203,-86.76752,36.138462
13806,524 Southgate Ave,Nashville,TN,37203,-86.767876,36.136024
13807,522 Southgate Ave,Nashville,TN,37203,-86.76774,36.13601
13808,425 Moore Ave,Nashville,TN,37203,-86.76247,36.136585
13809,1717 Allison Pl,Nashville,TN,37203,-86.76899,36.135715
13810,1716 Allison Pl,Nashville,TN,37203,-86.76898,36.13571
13811,1969 Gatlin Dr,Nashville,TN,37210,-86.7348,36.130432
13812,2224 Fox Ave,Nashville,TN,37210,-86.74384,36.123566
13813,219 Oriel St,Nashville,TN,37210,-86.743835,36.122105
13814,97 Oriel St,Nashville,TN,37210,-86.73999,36.121986
13815,105 Desoto Dr,Nashville,TN,37210,-86.73023,36.124645
13816,115 Prescott Pl,Nashville,TN,37211,-86.73708,36.11024
13817,2703 Mashburn Rd,Nashville,TN,37210,-86.73028,36.112736
13818,2925 Louise St,Nashville,TN,37211,-86.74748,36.108887
13819,468 Morton Ave,Nashville,TN,37211,-86.74425,36.10632
13820,212 Radnor St,Nashville,TN,37211,-86.738945,36.104923
13821,3113 Southlake Dr,Nashville,TN,37211,-86.728775,36.106678
13822,3114 Southlake Dr,Nashville,TN,37211,-86.72876,36.10667
13823,120 Tallwood Dr,Nashville,TN,37211,-86.72489,36.108643
13824,512 Drake Ave,Nashville,TN,37211,-86.7463,36.101963
13825,528 Raymond St,Nashville,TN,37211,-86.74415,36.099037
13826,523 Raymond St,Nashville,TN,37211,-86.74536,36.099163
13827,3204 Wingate Ave,Nashville,TN,37211,-86.734856,36.103043
