PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
Multi-Family (2-4 Unit),553 Shamrock SW,Grand Rapids,MI,49503,3,2,,40140,1910,21,,42.9407915,-85.6807336,74900
Single Family Residential,1620 Richmond St NW,Grand Rapids,MI,49504,2,1,1056,24829,1930,1,,42.992548,-85.709064,71280
Single Family Residential,1010 Alto Ave SE,Grand Rapids,MI,49507,3,1.5,1167,5175,1910,191,,42.9443037,-85.6418313,69999
Single Family Residential,657 Thomas St SE,Grand Rapids,MI,49503,4,1.5,1136,3310,1900,140,,42.9504223,-85.6519589,67900
Single Family Residential,449 Woodlawn St SE,Grand Rapids,MI,49507,4,1,1100,4880,1900,23,,42.942926,-85.657065,67900
Single Family Residential,1104 Jefferson Ave SE,Grand Rapids,MI,49507,6,2.5,1920,5096,1900,31,,42.94356,-85.663563,65000
Single Family Residential,1521 Broadway Ave NW,Grand Rapids,MI,49504,2,1,960,3160,1900,87,,42.990574,-85.679258,74990
Single Family Residential,43 Stewart St SW,Grand Rapids,MI,49507,5,2,1326,4821,1895,228,,42.9292299,-85.668519,60000
Single Family Residential,531 Highland St SE,Grand Rapids,MI,49507,3,1,1391,6621,1915,164,,42.943814,-85.655253,69900
Single Family Residential,2106 Towner Ave SW,Grand Rapids,MI,49507,2,2,1168,6098,1949,134,,42.925962,-85.677809,67900
Single Family Residential,321 28 St SE,Grand Rapids,MI,49507,3,1,1239,6534,1946,127,,42.913206,-85.658852,65000
Single Family Residential,931 Eastern Ave SE,Grand Rapids,MI,49507,3,1,1384,4796,1905,7,,42.945619,-85.649564,64900
Multi-Family (2-4 Unit),244 Franklin St SE,Grand Rapids,MI,49507,5,2,,3360,1885,58,,42.948453,-85.6622555,54000
Single Family Residential,1845 Collins Ave SE,Grand Rapids,MI,49507,3,1,1296,6298,1917,11,,42.929865,-85.66215,65000
Single Family Residential,47 La Belle St SW,Grand Rapids,MI,49507,3,1,1100,3400,1890,120,,42.939075,-85.669117,70000
Single Family Residential,549 Leonard St NE,Grand Rapids,MI,49503,5,3,1423,8276,1910,2,,42.984806,-85.655174,54060
Single Family Residential,860 Worden St SE,Grand Rapids,MI,49507,5,2,1542,1698,1916,164,,42.9473113,-85.6469278,74900
Single Family Residential,569 Sheldon Ave SE,Grand Rapids,MI,49503,4,2,1738,6600,1870,87,,42.952421,-85.6662,59900
Single Family Residential,40 Andre St SW,Grand Rapids,MI,49507,3,2.5,1226,4400,1925,39,,42.9255933,-85.6681728,74900
Condo/Co-op,140 Bona Vista Dr NW #140,Grand Rapids,MI,49504,2,2,1516,,1983,136,236,42.96873,-85.724634,99900
Condo/Co-op,200 Bona Vista Dr NW #207,Grand Rapids,MI,49504,2,1,886,,1984,191,236,42.96747,-85.724975,95000
Single Family Residential,251 Straight Ave NW,Grand Rapids,MI,49504,2,1,957,13200,1993,,,42.9685446,-85.6878317,93000
Single Family Residential,351 Brown SW,Grand Rapids,MI,49507,4,2,1571,6600,1989,91,,42.9324324,-85.6763055,87500
Single Family Residential,1122 Temple St SE,Grand Rapids,MI,49507,2,1,1100,4356,1935,225,,42.938678,-85.641321,88000
Single Family Residential,1015 Logan St SE,Grand Rapids,MI,49506,3,1.5,1255,3920,1910,143,,42.953999,-85.643876,100000
Condo/Co-op,204 Bona Vista Dr NW #109,Grand Rapids,MI,49504,2,1,920,,1984,,,42.967203,-85.725138,95000
Condo/Co-op,2367 Portman Dr SE #186,Grand Rapids,MI,49508,,1.5,958,,1986,,,42.896901,-85.6085949,93000
Single Family Residential,1426 Lancashire SE,Grand Rapids,MI,49508,3,1,1188,22477,1946,,,42.903911,-85.631015,95674
Single Family Residential,651 High St SW,Grand Rapids,MI,49503,,2,2130,5184,1910,,,42.937573,-85.683653,99000
Condo/Co-op,2518 Village Dr SE #00,Grand Rapids,MI,49506,2,1.5,1036,,1967,168,225,42.920157,-85.6194809,100000
Condo/Co-op,4185 Eastcastle Ct SE #27,Kentwood,MI,49508,2,2,1220,,1984,70,185,42.8874935,-85.6078328,94000
Single Family Residential,657 Crosby St NW,Grand Rapids,MI,49504,6,2.5,1886,3726,1922,,,42.9871097,-85.6846892,75600
Single Family Residential,849 Sylvia NW,Grand Rapids,MI,49504,3,3,2114,,1947,37,,42.995741,-85.690369,77000
Condo/Co-op,2705 Zuni Trl SE #12,Grand Rapids,MI,49506,2,1.5,1533,,1972,36,316,42.914937,-85.613556,78000
Condo/Co-op,1949 Georgetown Dr SE #218,Grand Rapids,MI,49506,2,1.5,1036,,1967,,,42.919037,-85.619473,95000
Condo/Co-op,567 Maryland Ave NE #16,Grand Rapids,MI,49503,1,2,1023,,1983,,,42.973013,-85.612273,76345
Multi-Family (2-4 Unit),27 Celia St SW,Wyoming,MI,49548,3,2,,13300,1940,60,,42.909794,-85.667031,99900
Single Family Residential,250 Richards Ave SW,Grand Rapids,MI,49504,3,1,992,4007,1947,102,,42.9587383,-85.6994042,100000
Condo/Co-op,2713 Zuni Trl SE #16,Grand Rapids,MI,49506,3,1.5,1441,,1972,176,345,42.91487,-85.613552,80000
Single Family Residential,14 Ann St NE,Grand Rapids,MI,49505,3,1,888,8712,1900,176,,42.995243,-85.668403,90000
Condo/Co-op,2708 Zuni Trl SE #21,Grand Rapids,MI,49506,2,1.5,1378,,1972,135,316,42.915157,-85.613321,93000
Condo/Co-op,3101 Maple Villa Dr SE #50,Grand Rapids,MI,49508,2,1,934,,1987,,,42.9073457,-85.6166508,99000
Single Family Residential,113 Gold Ave SW,Grand Rapids,MI,49504,2,2,1281,3782,1895,144,,42.961262,-85.685345,78320
Single Family Residential,1770 Carlton Ave NE,Grand Rapids,MI,49505,3,1,1221,8320,1961,,,42.9947609,-85.635177,88000
Multi-Family (2-4 Unit),1147 Hermitage SE,Grand Rapids,MI,49506,3,2,,4356,1913,253,,42.9612539,-85.6404529,95000
Single Family Residential,312 Lane Ave SW,Grand Rapids,MI,49504,4,2,2080,3800,1920,,,42.957998,-85.691655,90000
Condo/Co-op,2859 Dawes Ave SE #13,Grand Rapids,MI,49508,3,2,1457,,2009,,,42.911056,-85.62371,100000
Condo/Co-op,201 Bona Vista Dr NW #21,Grand Rapids,MI,49504,2,1,886,,1981,,,42.965997,-85.725451,95000
Single Family Residential,2060 Francis Ave SE,Grand Rapids,MI,49507,5,1.5,1976,7008,1910,7,,42.925712,-85.663661,97750
Single Family Residential,2219 Horton Ave SE,Grand Rapids,MI,49507,4,2,1666,5227,1924,238,,42.922947,-85.66555,99000
Condo/Co-op,2706 Birchcrest Dr SE #6,Grand Rapids,MI,49506,2,1.5,1530,,1972,235,316,42.915049,-85.6135539,87900
Single Family Residential,708 Burns St SW,Grand Rapids,MI,49503,2,1,795,5292,1924,253,,42.921287,-85.683798,82500
Condo/Co-op,258 Bona Vista Dr NW #101,Grand Rapids,MI,49504,2,1,920,,1984,,,42.967789,-85.724991,98000
Condo/Co-op,2031 Rowland Ave SE #16,Grand Rapids,MI,49546,,1.5,1073,,2000,,,42.9267023,-85.5758646,94000
Condo/Co-op,2708 Birchcrest Dr SE #5,Grand Rapids,MI,49506,2,1.5,1016,,1972,295,311,42.915066,-85.613547,81000
Single Family Residential,1141 Niagara Ave SE,Grand Rapids,MI,49507,3,1,1032,5619,1927,88,,42.941641,-85.640287,99900
Condo/Co-op,1282 Hillburn Ave NW #17,Grand Rapids,MI,49504,2,2,1112,,1981,256,241,42.987793,-85.737599,93000
Condo/Co-op,2541 Abbington Dr SE #128,Grand Rapids,MI,49506,2,1.5,1047,,1967,325,205,42.919851,-85.619829,92500
Condo/Co-op,2670 Ridgecroft Dr SE #27,Grand Rapids,MI,49546,2,1.5,1010,,1973,168,260,42.914965,-85.595114,79000
Condo/Co-op,211 Bona Vista Dr NW #26,Grand Rapids,MI,49504,2,1,970,,1981,,,42.965581,-85.725358,90000
Condo/Co-op,2863 Dawes Ave SE Unit .,Grand Rapids,MI,49508,3,1.5,1386,,2009,337,126,42.9109895,-85.6233178,99900
Single Family Residential,3067 Effie Pl NE,Grand Rapids,MI,49505,2,1,911,5140,1915,80,,43.019118,-85.654425,95000
Single Family Residential,1821 Fuller NE,Grand Rapids,MI,49505,2,1,686,5227,1952,107,,42.9958466,-85.6402895,81000
Single Family Residential,4585 Gratiot,Saginaw,MI,48638,3,1,1274,8712,1953,133,,42.9878006,-85.7128448,83000
Condo/Co-op,2464 Abbington Dr SE #0,Grand Rapids,MI,49506,2,1.5,884,,1967,344,205,42.919746,-85.619066,91000
Condo/Co-op,4162 E Saxony Dr SE #56,Grand Rapids,MI,49508,3,1.5,1496,,1968,234,200,42.8878803,-85.6272785,76000
Condo/Co-op,2067 Nathan Dr SE #0,Grand Rapids,MI,49508,2,2,1638,,1986,207,145,42.906526,-85.615488,92000
Condo/Co-op,2717 Modoc Trl SE #34,Grand Rapids,MI,49506,2,2,1641,,1972,10,345,42.914893,-85.613333,93000
Single Family Residential,857 Fuller Ave SE,Grand Rapids,MI,49506,3,1.5,1133,3528,1922,287,,42.946656,-85.63974,89500
Single Family Residential,217 Gold Ave NW,Grand Rapids,MI,49504,,3,2788,3520,1896,,,42.9676153,-85.6854145,96230
Single Family Residential,428 Charles Ave SE,Grand Rapids,MI,49503,4,1.5,1456,9365,1997,,,42.954673,-85.650214,92000
Single Family Residential,1741 32nd St SE,Grand Rapids,MI,49508,3,1,1311,12763,1961,,,42.905752,-85.623889,86000
Condo/Co-op,2450 Village Dr SE #62,Grand Rapids,MI,49506,2,1.5,1036,,1967,248,225,42.92059,-85.619201,95000
Single Family Residential,1136 Hazen St SE,Grand Rapids,MI,49507,2,1,1320,5270,1940,336,,42.925255,-85.639496,92500
Single Family Residential,433 Adams St SE,Grand Rapids,MI,49507,,2,1495,6621,1900,,,42.938618,-85.657475,97450
Single Family Residential,930 Adams St SE,Grand Rapids,MI,49507,4,1.5,1442,6490,1922,169,,42.937909,-85.645233,85000
Single Family Residential,2212 Clyde Park Ave SW,Grand Rapids,MI,49507,3,1,1232,6403,1951,21,,42.924194,-85.685681,90000
Single Family Residential,1146 Watkins St SE,Grand Rapids,MI,49507,3,2,1389,5270,1921,42,,42.945346,-85.640111,83000
Single Family Residential,149 Woodside Dr NE,Grand Rapids,MI,49503,,1.5,1294,7797,1952,,,42.966091,-85.622224,95000
Single Family Residential,839 Crescent St NE,Grand Rapids,MI,49503,,1,1108,4748,1910,,,42.9694083,-85.6480568,95000
Single Family Residential,340 Hanover NE,Grand Rapids,MI,49505,2,1,906,4791,1915,3,,42.990451,-85.6611889,84000
Single Family Residential,525 Walnut St NE,Grand Rapids,MI,49503,2,1,752,8712,1946,303,,42.980317,-85.656089,86000
Single Family Residential,315 Hanover St NE,Grand Rapids,MI,49505,3,1,1089,3179,1919,63,,42.9910641,-85.6621324,89900
Single Family Residential,115 Colfax St NE,Grand Rapids,MI,49505,3,1,1302,8900,1900,290,,42.9909729,-85.665729,77000
Single Family Residential,1705 Center Ave NE,Grand Rapids,MI,49505,4,1.5,1227,2918,1903,137,,42.9939936,-85.667361,79900
Single Family Residential,37 Burr Oak St NE,Grand Rapids,MI,49505,,1,1433,5271,1920,,,42.9975125,-85.6675354,98000
Single Family Residential,1411 Leonard St NE,Grand Rapids,MI,49505,3,1,1481,5445,1949,32,,42.984716,-85.634627,79900
Single Family Residential,1536 Carlton Ave NE,Grand Rapids,MI,49505,3,1,1740,8276,1955,16,,42.990874,-85.634585,90000
Single Family Residential,2117 Duiker Ave NE,Grand Rapids,MI,49505,,2,1242,5632,1927,,,43.0013202,-85.648701,95000
Single Family Residential,1000 Hollywood St NE,Grand Rapids,MI,49505,3,1,1729,5009,1948,135,,43.0074572,-85.6444985,83500
Single Family Residential,2940 Coit Ave NE,Grand Rapids,MI,49505,4,1,970,3789,1920,59,,43.0163779,-85.6557534,88500
Single Family Residential,758 Parkway Dr NE,Grand Rapids,MI,49525,,1,1007,9975,1963,,,43.025736,-85.649923,90000
Single Family Residential,1720 Sibley St NW,Grand Rapids,MI,49504,,2,1417,10636,1957,,,42.968532,-85.710517,100000
Condo/Co-op,142 Bona Vista Dr NW #74,Grand Rapids,MI,49504,2,2.5,1211,,1983,287,236,42.968688,-85.724635,87500
Single Family Residential,1017 Davis Ave NW,Grand Rapids,MI,49504,3,2,1800,1440,1940,157,,42.982061,-85.685881,80000
Multi-Family (2-4 Unit),43 Straight Ave NW,Grand Rapids,MI,49504,4,2,,6600,1890,175,,42.964812,-85.68779,86000
Single Family Residential,1140 Powers Ave NW,Grand Rapids,MI,49504,,2,1412,4840,1930,,,42.984789,-85.6950619,94900
Multi-Family (2-4 Unit),,Grand Rapids,MI,49504,4,2,,190270080,1916,161,,42.982283,-85.690127,87000
Single Family Residential,617 Lincoln NW,Grand Rapids,MI,49504,5,2,1734,9765,1913,259,,42.9748317,-85.6969022,99000
Single Family Residential,842 Jennette Ave NW,Grand Rapids,MI,49504,3,2,1554,3960,1885,354,,42.979341,-85.689123,98500
Single Family Residential,905 Walker Ave NW,Grand Rapids,MI,49504,3,1,1771,5029,1916,210,,42.978643,-85.691353,100000
Single Family Residential,923 Pine Ave NW,Grand Rapids,MI,49504,4,1.5,1684,4814,1926,1,,42.980252,-85.694339,92500
Single Family Residential,804 Valley Ave NW,Grand Rapids,MI,49504,2,1,864,4356,1925,52,,42.9785554,-85.7002923,91900
Single Family Residential,1525 Whitmore NW,Grand Rapids,MI,49504,3,1.5,896,6000,1950,337,,42.992386,-85.746371,82500
Single Family Residential,1527 Powers Ave NW,Grand Rapids,MI,49504,4,1,2016,6098,1956,357,,42.991741,-85.6958526,78000
Single Family Residential,1353 Myrtle St NW,Grand Rapids,MI,49504,2,1,953,6983,1948,,,42.989614,-85.702395,97500
Single Family Residential,1708 Jennette Ave NW,Grand Rapids,MI,49504,2,1,986,5795,1948,253,,42.9947124,-85.6898401,80000
Single Family Residential,1828 Hanchett Ave NW,Grand Rapids,MI,49504,2,1,768,8276,1940,91,,42.997448,-85.705172,84900
Multi-Family (2-4 Unit),1714 Eastern Ave SE,Grand Rapids,MI,49507,4,2,,5619,1950,119,,42.932102,-85.648135,100000
Multi-Family (2-4 Unit),1948 Silver Ave SE,Grand Rapids,MI,49507,,,,4850,1946,269,,42.927599,-85.640001,77500
Single Family Residential,911 Crosby St NW,Grand Rapids,MI,49504,4,1,1402,4075,1900,184,,42.987442,-85.692036,85000
Single Family Residential,962 Bates St SE,Grand Rapids,MI,49506,,2,1744,5793,1885,,,42.949013,-85.644371,87000
Multi-Family (2-4 Unit),854 Hovey St SW,Grand Rapids,MI,49504,6,2,,4893,1900,304,,42.962489,-85.689688,75511
Multi-Family (2-4 Unit),109 Gold Ave SW,Grand Rapids,MI,49504,,,,3416,1900,305,,42.961341,-85.6853469,81000
Multi-Family (2-4 Unit),431 Lincoln NW,Grand Rapids,MI,49504,6,4,,11761,1922,79,,42.97198,-85.696907,99900
Multi-Family (2-4 Unit),710 Paris Ave SE,Grand Rapids,MI,49503,,,,5227,1910,283,,42.949934,-85.655032,83000
Multi-Family (2-4 Unit),919 Watkins SE,Grand Rapids,MI,49507,,,,5808,1917,34,,42.945914,-85.645548,92900
Single Family Residential,1327 Quarry Ave NW,Grand Rapids,MI,49504,,2,1675,6098,1882,,,42.9876641,-85.6815001,92000
Single Family Residential,653 Lake Dr SE,Grand Rapids,MI,49503,,2,2713,5706,1894,,,42.9623233,-85.6523278,87000
Multi-Family (2-4 Unit),651 High St SW,Grand Rapids,MI,49503,1,1,,5175,1910,329,,42.937573,-85.683653,99000
Multi-Family (2-4 Unit),1039 Tamarack NW,Grand Rapids,MI,49504,3,2,,3920,1910,120,,42.9829305,-85.693182,100000
Multi-Family (2-4 Unit),1047 Madison Ave SE,Grand Rapids,MI,49507,4,2,,5401,1915,100,,42.943989,-85.659394,78000
Multi-Family (2-4 Unit),215 Gold Ave NW #217,Grand Rapids,MI,49504,6,3,,3520,1897,206,,42.967612,-85.6853612,96230
Multi-Family (2-4 Unit),618 Pine Ave NW,Grand Rapids,MI,49504,4,2,,4514,1890,203,,42.974803,-85.6936461,91000
Multi-Family (2-4 Unit),337 Pine Ave NW,Grand Rapids,MI,49504,4,2,,8276,1890,364,,42.97022,-85.6941329,99000
Single Family Residential,1320 Davis Ave NW,Grand Rapids,MI,49504,5,2,1800,4674,1916,,,42.9876151,-85.6854414,82000
Multi-Family (2-4 Unit),808 Veto St NW,Grand Rapids,MI,49504,3,2,,2376,1902,301,94,42.9642709,-85.687907,81500
Single Family Residential,1245 North Ave NE,Grand Rapids,MI,49505,,3,2743,5401,1912,,,42.985867,-85.659938,85360
Single Family Residential,752 7th St NW,Grand Rapids,MI,49504,,2,2640,6000,1890,,,42.977738,-85.687199,91700
Single Family Residential,1326 Eastern Ave SE,Grand Rapids,MI,49507,,2,1356,4704,1915,,,42.939337,-85.64875,79000
Multi-Family (2-4 Unit),946 Mcreynolds Ave NW,Grand Rapids,MI,49504,4,2,,7840,1907,102,,42.9811679,-85.68638,89900
Multi-Family (2-4 Unit),720 4th St NW,Grand Rapids,MI,49504,5,16,,6534,1880,302,,42.9748282,-85.6858855,85000
Multi-Family (2-4 Unit),943 Jackson NW,Grand Rapids,MI,49504,5,3,,6599,1907,339,,42.968429,-85.691719,85661
Multi-Family (2-4 Unit),811 Park St SW,Grand Rapids,MI,49504,5,2,,3392,1930,121,,42.960206,-85.687979,99500
Multi-Family (2-4 Unit),1231-1235 Broadway Ave NW,Grand Rapids,MI,49504,8,4,,5750,1900,220,,42.985969,-85.679139,79900
Single Family Residential,609 Sibley St NW,Grand Rapids,MI,49504,5,3,2411,2178,1900,,,42.9672387,-85.6830686,77000
Single Family Residential,343 Spencer St NE,Grand Rapids,MI,49505,,2,1852,5750,1905,,,42.988442,-85.6603839,84000
Multi-Family (2-4 Unit),608 Bates St SE,Grand Rapids,MI,49503,6,3,,6468,1900,49,,42.9491159,-85.653777,79050
Single Family Residential,842 Hall St SE,Grand Rapids,MI,49507,5,2,1596,5750,1910,37,,42.940905,-85.647384,79500
Single Family Residential,650 Oakdale St SE,Grand Rapids,MI,49507,,2,1295,6055,1946,,,42.937108,-85.651784,75600
Single Family Residential,1548 Coit Ave NE,Grand Rapids,MI,49505,6,2,1792,8015,1885,,,42.990786,-85.664301,85000
Multi-Family (2-4 Unit),310 Lane Ave SW #312,Grand Rapids,MI,49504,4,2,,,1922,322,111,42.9579942,-85.6917758,90000
Multi-Family (2-4 Unit),129 Page St NE,Grand Rapids,MI,49505,,,,3950,1890,226,,42.9866393,-85.6650188,83000
Single Family Residential,263 Straight Ave SW,Grand Rapids,MI,49504,,2,2092,6500,1893,,,42.9581,-85.687719,79900
Single Family Residential,723 Turner Ave NW,Grand Rapids,MI,49504,,2,2684,9888,1875,,,42.976594,-85.678825,97000
Multi-Family (2-4 Unit),1135 Tamarack Ave NW,Grand Rapids,MI,49504,2,1,,3993,1920,297,,42.984561,-85.693308,87000
Multi-Family (2-4 Unit),1413 Lafayette NE,Grand Rapids,MI,49505,4,2,,5009,1902,10,,42.988677,-85.66244,80000
Single Family Residential,53 Grove St NE,Grand Rapids,MI,49505,4,2,2374,9060,1900,,,42.9875366,-85.6665427,83500
Multi-Family (2-4 Unit),652 Chatham St NW,Grand Rapids,MI,49504,4,3,,2442,1890,169,,42.9687167,-85.6847393,85000
Multi-Family (2-4 Unit),962 Fremont Ave NW,Grand Rapids,MI,49504,,,,5204,1880,302,,42.981539,-85.690968,77500
Multi-Family (2-4 Unit),1918 Linden Ave SE,Grand Rapids,MI,49507,4,2,,7797,1924,148,,42.928557,-85.650327,100000
Single Family Residential,447 Oakdale St SE,Grand Rapids,MI,49507,4,1.5,1320,5140,2007,,,42.937648,-85.656774,80000
Multi-Family (2-4 Unit),766 Clancy Ave NE,Grand Rapids,MI,49503,3,2,,6054,1885,147,,42.9771912,-85.6628219,97900
Single Family Residential,1147 Bemis St,Grand Rapids,MI,49506,3,1,1105,4051,1890,364,,42.953264,-85.64005,94000
Single Family Residential,1141 Union NE,Grand Rapids,MI,49503,2,1,1305,5662,1923,232,,42.98395,-85.655036,78000
Single Family Residential,1815 Lafayette Ave SE,Grand Rapids,MI,49507,,2,1583,5271,1921,,,42.9306535,-85.6608923,92500
Single Family Residential,722 Franklin St SE,Grand Rapids,MI,49507,2,1.5,1620,4965,1905,242,,42.948161,-85.650747,85000
Single Family Residential,1157 Alexander St SE,Grand Rapids,MI,49507,,1.5,1592,5401,1910,,,42.944958,-85.639792,86000
Single Family Residential,1218 Alto Ave SE,Grand Rapids,MI,49507,,1,744,4792,1947,,,42.9404739,-85.6419996,76000
Condo/Co-op,505 Cherry St SE #114,Grand Rapids,MI,49503,0,1,369,,1949,161,143,42.960021,-85.656451,84000
Single Family Residential,1504 Giddings Ave SE,Grand Rapids,MI,49507,2,1.5,1640,4850,1950,203,,42.936091,-85.633962,85000
Single Family Residential,735 Ardmore St SE,Grand Rapids,MI,49507,,1.5,1248,4574,1950,,,42.9285,-85.649073,82500
Single Family Residential,1030 Veto St NW,Grand Rapids,MI,49504,3,1,1628,4974,1950,351,,42.964365,-85.693652,79000
Single Family Residential,1101 Orville St SE,Grand Rapids,MI,49507,,1.5,1196,2570,1930,,,42.93297,-85.640527,92000
Condo/Co-op,2502 Village Dr SE #99,Grand Rapids,MI,49506,2,1.5,1036,,1967,140,240,42.919525,-85.620981,99000
Single Family Residential,251 Ann St NE,Grand Rapids,MI,49505,2,1,1263,5280,1895,213,,42.995737,-85.662522,90000
Single Family Residential,1000 Sixth St NW,Grand Rapids,MI,49504,3,2,1335,6160,1957,183,,42.977067,-85.692838,80000
Single Family Residential,1036 Dickinson St SE,Grand Rapids,MI,49507,4,1,1680,5547,1928,287,,42.932671,-85.642192,89900
Single Family Residential,1525 4th St NW,Grand Rapids,MI,49504,5,1.5,1806,18652,1917,192,,42.977266,-85.705841,87000
Single Family Residential,300 Lemyra St SE,Wyoming,MI,49548,3,1,1328,43560,1954,154,,42.906578,-85.659286,95100
Single Family Residential,1338 Alpine Ave NW,Grand Rapids,MI,49504,,1,1358,7532,1918,,,42.988249,-85.6877,100000
Single Family Residential,1622 Alpine Ave NW,Grand Rapids,MI,49504,3,2,1318,4356,1924,107,,42.993207,-85.687983,85000
Single Family Residential,406 Burton St SW,Grand Rapids,MI,49507,3,1.5,1536,5619,1926,,,42.927461,-85.676246,99900
Single Family Residential,1028 Boston St SE,Grand Rapids,MI,49507,3,2,1795,5749,1946,154,,42.933523,-85.642489,98900
Single Family Residential,959 Thomas St SE,Grand Rapids,MI,49506,4,2,1662,6185,1923,203,,42.950394,-85.644458,87900
Single Family Residential,1847 Fuller Ave NE,Grand Rapids,MI,49505,3,1.5,1128,5014,1952,52,,42.9965313,-85.6403029,85000
Single Family Residential,739 Westview Ave NW,Grand Rapids,MI,49504,3,1.5,1663,14000,1962,365,,42.977913,-85.736208,95000
Single Family Residential,720 Coate Ct SW,Grand Rapids,MI,49503,4,1,1086,4748,1890,231,,42.937828,-85.6856844,77000
Single Family Residential,1320 Lafayette Ave NE,Grand Rapids,MI,49505,3,1,1618,4092,1890,259,,42.98711,-85.6617289,90000
Single Family Residential,1830 Francis Ave SE,Grand Rapids,MI,49507,4,2,1538,5749,1915,225,,42.930297,-85.663901,83900
Single Family Residential,1749 Godwin Ave SE,Grand Rapids,MI,49507,3,1.5,1176,4960,1925,137,,42.9312203,-85.6572778,91000
Single Family Residential,972 Powers Ave NW,Grand Rapids,MI,49504,3,1,1356,4791,1919,108,,42.9815874,-85.6950818,85750
Single Family Residential,846 Burton St SE,Grand Rapids,MI,49507,3,2.5,1304,5227,1926,126,,42.927074,-85.646177,90000
Single Family Residential,1125 Prospect Ave SE,Grand Rapids,MI,49507,3,1,1250,6534,1910,178,,42.942846,-85.6605979,78200
Single Family Residential,1717 Linden Ave SE,Grand Rapids,MI,49507,3,2,1262,4704,1928,147,,42.93215,-85.651298,98000
Single Family Residential,1534 Houseman Ave NE,Grand Rapids,MI,49505,2,1,894,5478,1933,238,,42.990803,-85.645695,96000
Single Family Residential,1137 Fuller Ave SE,Grand Rapids,MI,49506,4,2,1980,5650,1925,273,,42.941774,-85.639717,77791
Single Family Residential,1042 Rathbone St SW,Wyoming,MI,49509,3,1,1040,4791,1929,49,,42.9368987,-85.6930073,77250
Single Family Residential,1300 Buffalo NE,Grand Rapids,MI,49505,3,1,725,4000,1900,364,,42.986561,-85.662977,80000
Single Family Residential,1332 Cedar St NE,Grand Rapids,MI,49503,3,1,891,5750,1963,149,,42.980585,-85.635133,85500
Single Family Residential,1105 Alpine Ave NW,Grand Rapids,MI,49504,,2,1791,4758,1895,,,42.9836313,-85.6882859,94900
Single Family Residential,80 Arthur Ave NE,Grand Rapids,MI,49503,4,1.5,1590,5793,1922,36,,42.965051,-85.636255,100000
Condo/Co-op,505 Cherry St SE #514,Grand Rapids,MI,49503,0,1,369,,1949,113,143,42.960021,-85.656451,77100
Single Family Residential,1735 Willis Ave NW,Grand Rapids,MI,49504,3,1,1202,10454,1953,64,,42.995759,-85.704621,90000
Single Family Residential,1027 Pine Ave NW,Grand Rapids,MI,49504,5,1.5,1674,4840,1916,213,,42.9826542,-85.6943745,79500
Single Family Residential,1751 Jennette Ave NW,Grand Rapids,MI,49504,2,1,1050,,1949,226,,42.995936,-85.690477,85000
Single Family Residential,1129 Merrifield St SE,Grand Rapids,MI,49507,4,2,1518,5271,1920,,,42.924855,-85.6397609,95000
Single Family Residential,1410 Cedar St NE,Grand Rapids,MI,49503,4,1,988,5750,1950,115,,42.98058,-85.634015,91900
Single Family Residential,517 Crosby St NW,Grand Rapids,MI,49504,,1,1336,2919,1890,,,42.98702,-85.680815,78000
Single Family Residential,911 Walker Ave NW,Grand Rapids,MI,49504,2,1.5,1263,,1920,93,,42.9786843,-85.691523,99911
Single Family Residential,444 Graceland St NE,Grand Rapids,MI,49505,2,1,1077,3484,1930,92,,42.9996552,-85.6578863,99000
Single Family Residential,1303 Walnut St NE,Grand Rapids,MI,49503,3,1,990,5924,1920,,,42.980288,-85.636628,98000
Single Family Residential,922 Eastern Ave NE,Grand Rapids,MI,49503,3,1.5,1136,9900,1900,169,,42.979815,-85.649249,90000
Single Family Residential,1628 Mcdonald NW,Grand Rapids,MI,49504,2,1.5,1250,6000,1955,343,,42.9844522,-85.7096724,89900
Single Family Residential,642 Benjamin Ave SE,Grand Rapids,MI,49506,4,1.5,1344,2400,1915,91,,42.950648,-85.636784,95000
Single Family Residential,1339 Anderson Pl NW,Grand Rapids,MI,49504,3,1,918,4480,1920,100,,42.988218,-85.686822,80000
Single Family Residential,1441 Bradford St NE,Grand Rapids,MI,49503,3,1,948,7501,1951,81,,42.977855,-85.63252,87500
Single Family Residential,924 Spencer St NE,Grand Rapids,MI,49505,3,1,912,5869,1927,49,,42.988347,-85.6463,93000
Single Family Residential,1005 Franklin SE,Grand Rapids,MI,49507,3,1.5,1380,6534,1924,333,,42.948632,-85.644069,99500
Single Family Residential,1042 Garfield Ave NW,Grand Rapids,MI,49504,3,1,1340,4835,1900,329,,42.983187,-85.697457,80000
Single Family Residential,56 Stewart St SW,Grand Rapids,MI,49507,5,2,1525,4835,1886,42,,42.928725,-85.668897,95000
Single Family Residential,1930 Lafayette Ave SE,Grand Rapids,MI,49507,4,1.5,1446,4966,1913,,,42.928793,-85.660147,88900
Single Family Residential,918 Merrifield St SE,Grand Rapids,MI,49507,,1,763,5053,1939,,,42.9246207,-85.6443209,84900
Single Family Residential,635 4 Mile NE,Grand Rapids,MI,49525,2,1,1165,9583,1940,336,,43.029262,-85.6547439,97000
